local,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
local1,3.87,2.86,741,7.22,13759,10354,29106,10444,73.95,5.1
local2,2.93,1.53,349,2.53,19095,7673,20235,31668,37.14,22.5
local3,3.62,2.34,749,4.71,18195,7197,15499,25802,41793,2.9
local4,2.71,2.26,772,17.74,41601,10241,77.22,50.11,42834,5.1
local5,3.1,2.42,706,10.65,20796,9941,47637,17485,68678,6.6
local5,3.5,2.07,725,4.19,38472,8476,29108,65442,6159,3.4
local6,2.8,2.33,608,26.77,13107,5512,36776,6302,79155,7.2
local7,2.01,1.55,405,8.32,22678,4081,42408,30614,79559,18.7
local8,2.37,1.7,311,9.26,22116,9676,50902,20.04,74347,17.1
local9,3.02,2.03,623,10.31,20259,9031,27323,26321,51796,10.7
local10,2.15,1.79,618,6.73,29354,2395,55518,37212,60286,7
local11,2.36,1.9,542,11.09,19006,10094,37103,20204,79422,8.8
local12,2.72,1.99,394,8.78,19429,7216,16963,41.56,92018,19.2
local13,2.29,2.11,638,5.55,43316,3134,53305,60987,38747,7.1
local14,2.23,1.9,582,5.87,29599,6677,26461,51.54,72434,17.5
local15,5.82,5.62,750,14.7,14356,8715,15936,15411,91317,2.1
local16,2.48,1.9,661,5.39,15.19,7763,15342,20348,64183,4.7
local17,1.68,1.32,229,4.3,13404,10467,10126,37.98,99009,7.6
local18,3.17,2.45,577,9.85,14972,10811,39916,8589,80234,5.3
local19,3.34,2.91,856,10.63,33758,10139,74.67,30579,74454,2.7
local20,2.67,1.97,587,5.28,16873,5793,21009,22727,46079,4.9
local21,2,1.61,292,8.54,34677,8706,60959,45545,71274,17.5
local22,1.63,1.26,458,6.06,24.14,8235,43725,26251,32412,15.2
local23,2.93,2.23,550,7.24,22937,7828,37005,33989,53966,2.6
local24,2.85,1.98,545,5.37,17501,8932,22901,19922,69221,7.1
local25,5.43,4.2,1076,6.4,47886,18829,47925,58547,40915,1.4
local26,4.05,2.95,756,10.12,66002,29158,83.34,69392,26787,3.3
local27,15.89,8.38,1344,2.23,85785,12721,99627,97267,15228,1
local28,4.86,3.64,864,12.81,75.82,23689,120.01,34139,-616598,2.1
